word|transliteration
放送|ほうそう
習慣|しゅうかん
フィルム|ふぃるむ
受け付ける|うけつける
ダンス|だんす
こんなに|こんなに
吹く|ふく
まあ|まあ
メール|めーる
インターネット|いんたーねっと
出身|しゅっしん
職業|しょくぎょう
スター|すたー
くだらない|くだらない
名簿|めいぼ
通常|つうじょう
家内|かない
消防署|しょうぼうしょ
再び|ふたたび
大統領|だいとうりょう
入場券|にゅうじょうけん
ネックレス|ねっくれす
パジャマ|ぱじゃま
ボールペン|ぼーるぺん
かゆい|かゆい
覚ます|さます
すいか|すいか
そば|そば
特急|とっきゅう
のり|のり
大抵|たいてい
バスケットボール|ばすけっとぼーる
酔っ払う|よっぱらう
どきどき|どきどき
欲しがる|ほしがる
早起き|はやおき
味噌汁|みそしる
読み方|よみかた
入り口|いりぐち
降ろす|おろす
掛かる|かかる
サンドイッチ|さんどいっち
四角い|しかくい
突き当たる|つきあたる
乾かす|かわかす
定期券|ていきけん
にこにこ|にこにこ
下る|くだる
ウール|うーる
コーラ|こーら
トイレットペーパー|といれっとぺーぱー
乗り換え|のりかえ
灰皿|はいざら
ハム|はむ
床|ゆか
ローマ字|ろーまじ
いちご|いちご
カレーライス|かれーらいす
キャッシュカード|きゃっしゅかーど
停留所|ていりゅうじょ
床屋|とこや
歯磨き|はみがき
夕飯|ゆうはん
酔っ払い|よっぱらい
例|れい
お辞儀|おじぎ
横断歩道|おうだんほどう
ぐらぐら|ぐらぐら
航空便|こうくうびん
ジャム|じゃむ
スリッパ|すりっぱ
畳む|たたむ
トランプ|とらんぷ
日陰|ひかげ
文房具|ぶんぼうぐ
免許証|めんきょしょう
訳す|やくす
よろしい|よろしい
両替|りょうがえ
片づく|かたづく
カップ|かっぷ
消しゴム|けしごむ
スケート|すけーと
鍋|なべ
寝坊|ねぼう
鋏|はさみ
真っ青|まっさお
汚す|よごす
忘れ物|わすれもの
掛け算|かけざん
臭い|くさい
突き当たり|つきあたり
マフラー|まふらー
桃|もも
アクセサリー|あくせさりー
あくび|あくび
あめ|あめ
上り|のぼり
なるべく|なるべく
じっと|じっと
食器|しょっき
延ばす|のばす
薬局|やっきょく
雄|おす
雌|めす
和風|わふう
いびき|いびき
ピクニック|ぴくにっく
地域|ちいき
勘違い|かんちがい
重要|じゅうよう
主人|しゅじん
お宅|おたく
ハイキング|はいきんぐ
畑|はたけ
ボーイフレンド|ぼーいふれんど
イヤリング|いやりんぐ
ガールフレンド|がーるふれんど
柔らか|やわらか
納豆|なっとう
別に|べつに
どうしても|どうしても
父親|ちちおや
誘う|さそう
母親|ははおや
昼前|ひるまえ
ふらふら|ふらふら
こぼす|こぼす
持ってくる|もってくる
振り向く|ふりむく
洗面所|せんめんじょ
外側|そとがわ
段々|だんだん
包む|つつむ
無くなる|なくなる
豚|ぶた
褒める|ほめる
沸かす|わかす
暖める|あたためる
換える|かえる
安っぽい|やすっぽい
ぎらぎら|ぎらぎら
何とか|なんとか
いよいよ|いよいよ
がらがら|がらがら
缶詰|かんづめ
怪我|けが
寒さ|さむさ
祝日|しゅくじつ
すき焼き|すきやき
葉書|はがき
掃く|はく
何しろ|なにしろ
どんどん|どんどん
ぺこぺこ|ぺこぺこ
ぺらぺら|ぺらぺら
レインコート|れいんこーと
アイス|あいす
塩辛い|しおからい
セロテープ|せろてーぷ
大幅|おおはば
教育|きょういく
工事|こうじ
担当|たんとう
法律|ほうりつ
丸|まる
発表|はっぴょう
研究|けんきゅう
一方|いっぽう
国内|こくない
全体|ぜんたい
後|のち
人間|にんげん
刺身|さしみ
ばら|ばら
ねずみ|ねずみ
以下|いか
昔|むかし
訳|わけ
違い|ちがい
しっかり|しっかり
将来|しょうらい
不思議|ふしぎ
決して|けっして
失敗|しっぱい
番|ばん
出会う|であう
悩む|なやむ
汗|あせ
すっかり|すっかり
代わり|かわり
一言|ひとこと
豊か|ゆたか
接続|せつぞく
抱える|かかえる
エンジン|えんじん
少女|しょうじょ
無駄|むだ
自動|じどう
先輩|せんぱい
眺める|ながめる
書類|しょるい
年月|ねんげつ
燃やす|もやす
線路|せんろ
水着|みずぎ
可愛らしい|かわいらしい
仲良し|なかよし
梅干し|うめぼし
ドレス|どれす
尽くす|つくす
地球|ちきゅう
不親切|ふしんせつ
からから|からから
本箱|ほんばこ
横書き|よこがき
そば屋|そばや
加工|かこう
実験|じっけん
愛する|あいする
あんまり|あんまり
いきなり|いきなり
表|おもて
汚れ|よごれ
間|あいだ
紫|むらさき
灰色|はいいろ
血|ち
顎|あご
始めに|はじめに
暖まる|あたたまる
お世辞|おせじ
袋|ふくろ
長袖|ながそで
半袖|はんそで
形|かたち
景色|けしき
ざあざあ|ざあざあ
再来月|さらいげつ
泊める|とめる
叱る|しかる
騒ぐ|さわぐ
車道|しゃどう
掃除機|そうじき
剃る|そる
貼る|はる
台|だい
主に|おもに
倒す|たおす
星|ほし
長女|ちょうじょ
爪|つめ
缶|かん
とんとん|とんとん
袖|そで
濡れる|ぬれる
パーセント|ぱーせんと
上がる|あがる
拍手|はくしゅ
弾く|ひく
ひも|ひも
昼過ぎ|ひるすぎ
船|ふね
まく|まく
姪|めい
個人|こじん
歌手|かしゅ
社員|しゃいん
不動産屋|ふどうさんや
最大|さいだい
動き|うごき
事件|じけん
過去|かこ
協力|きょうりょく
時期|じき
経つ|たつ
雷|かみなり
責任|せきにん
願う|ねがう
発見|はっけん
気|き
美容院|びよういん
状況|じょうきょう
目的|もくてき
企業|きぎょう
釣り|つり
漫画|まんが
温泉|おんせん
トレーニング|とれーにんぐ
噂|うわさ
本物|ほんもの
アイデア|あいであ
地下|ちか
マーケット|まーけっと
スケジュール|すけじゅーる
出張|しゅっちょう
コック|こっく
正午|しょうご
ブラシ|ぶらし
書き取る|かきとる
歓迎|かんげい
開発|かいはつ
郵便屋さん|ゆうびんやさん
会長|かいちょう
金|きん
灰|はい
骨|ほね
風呂屋|ふろや
細か|こまか
行き|ゆき
人々|ひとびと
寺|てら
鶏|にわとり
港|みなと
移る|うつる
異なる|ことなる
提供|ていきょう
市民|しみん
患者|かんじゃ
元旦|がんたん
柔らかい|やわらかい
似合う|にあう
確かめる|たしかめる
背中|せなか
肌|はだ
順番|じゅんばん
まとも|まとも
ぴったり|ぴったり
思わず|おもわず
より|より
もったいない|もったいない
情報|じょうほう
諦める|あきらめる
懐かしい|なつかしい
怪しい|あやしい
示す|しめす
たっぷり|たっぷり
早速|さっそく
偶然|ぐうぜん
続き|つづき
合計|ごうけい
傷|きず
面倒|めんどう
具合|ぐあい
中止|ちゅうし
手続き|てつづき
結果|けっか
建設|けんせつ
販売|はんばい
機能|きのう
頃|ころ
日中|にっちゅう
今後|こんご
影響|えいきょう
分野|ぶんや
関する|かんする
状態|じょうたい
価格|かかく
姿|すがた
期待|きたい
除く|のぞく
一般|いっぱん
表現|ひょうげん
完成|かんせい
変化|へんか
参加|さんか
土地|とち
検討|けんとう
開始|かいし
備える|そなえる
内容|ないよう
与える|あたえる
広がる|ひろがる
事実|じじつ
決定|けってい
住宅|じゅうたく
代表|だいひょう
命令|めいれい
立場|たちば
なお|なお
計算|けいさん
可能|かのう
報告|ほうこく
都市|とし
政治|せいじ
競争|きょうそう
原因|げんいん
活動|かつどう
歴史|れきし
表|ひょう
サイト|さいと
土産|みやげ
臭い|におい
現金|げんきん
虫|むし
寄る|よる
田舎|いなか
帰宅|きたく
重大|じゅうだい
マイナス|まいなす
稼ぐ|かせぐ
左右|さゆう
痛み|いたみ
誤解|ごかい
文句|もんく
欧米|おうべい
面接|めんせつ
サイン|さいん
年中|ねんじゅう
機嫌|きげん
居間|いま
度々|たびたび
例文|れいぶん
怠ける|なまける
転勤|てんきん
政府|せいふ
所有|しょゆう
いずれ|いずれ
対する|たいする
教会|きょうかい
